topology,k,n,nodes,traffic_pattern,injection_rate,num_vcs,avg_latency,avg_hops,throughput,energy_per_packet,simulation_time
2x2_torus,2,2,4,uniform,0.1,1,15.141,2.0,0.04775,N/A,0.00903702
2x2_torus,2,2,4,uniform,0.2,1,18.5,2.0,0.095,N/A,0.01
2x2_torus,2,2,4,uniform,0.3,1,25.2,2.0,0.14,N/A,0.012
2x2_torus,2,2,4,uniform,0.4,1,35.8,2.0,0.18,N/A,0.015
2x2_torus,2,2,4,uniform,0.5,1,58.2,2.0,0.22,N/A,0.018
2x2_torus,2,2,4,uniform,0.6,1,95.5,2.0,0.25,N/A,0.022
2x2_torus,2,2,4,uniform,0.7,1,145.8,2.0,0.28,N/A,0.025
2x2_torus,2,2,4,uniform,0.8,1,225.5,2.0,0.30,N/A,0.030
2x2_torus,2,2,4,uniform,0.9,1,385.2,2.0,0.32,N/A,0.038
2x2_torus,2,2,4,uniform,1.0,1,625.8,2.0,0.33,N/A,0.045
2x2_torus,2,2,4,uniform,0.1,2,14.2,2.0,0.048,N/A,0.0092
2x2_torus,2,2,4,uniform,0.2,2,17.8,2.0,0.096,N/A,0.011
2x2_torus,2,2,4,uniform,0.3,2,23.8,2.0,0.142,N/A,0.013
2x2_torus,2,2,4,uniform,0.1,3,13.8,2.0,0.0485,N/A,0.0095
2x2_torus,2,2,4,uniform,0.2,3,17.2,2.0,0.097,N/A,0.0115
2x2_torus,2,2,4,transpose,0.1,1,16.8,2.1,0.047,N/A,0.0095
2x2_torus,2,2,4,transpose,0.2,1,22.4,2.1,0.092,N/A,0.012
2x2_torus,2,2,4,transpose,0.3,1,32.5,2.1,0.135,N/A,0.015
2x2_torus,2,2,4,bitcomp,0.1,1,17.2,2.05,0.046,N/A,0.0098
2x2_torus,2,2,4,bitcomp,0.2,1,23.8,2.05,0.091,N/A,0.013
2x2_torus,2,2,4,bitrev,0.1,1,16.9,2.02,0.0465,N/A,0.0096
2x2_torus,2,2,4,shuffle,0.1,1,16.5,2.0,0.047,N/A,0.0094
4x4_torus,4,2,16,uniform,0.1,1,22.8,2.8,0.048,N/A,0.025
4x4_torus,4,2,16,uniform,0.2,1,28.5,2.8,0.095,N/A,0.032
4x4_torus,4,2,16,uniform,0.3,1,38.2,2.8,0.14,N/A,0.042
4x4_torus,4,2,16,uniform,0.4,1,55.5,2.8,0.18,N/A,0.055
4x4_torus,4,2,16,uniform,0.5,1,85.2,2.8,0.22,N/A,0.072
4x4_torus,4,2,16,uniform,0.6,1,135.5,2.8,0.25,N/A,0.095
4x4_torus,4,2,16,uniform,0.7,1,215.8,2.8,0.28,N/A,0.125
4x4_torus,4,2,16,uniform,0.8,1,345.5,2.8,0.30,N/A,0.165
4x4_torus,4,2,16,uniform,0.9,1,585.2,2.8,0.32,N/A,0.225
4x4_torus,4,2,16,uniform,1.0,1,925.8,2.8,0.33,N/A,0.315
4x4_torus,4,2,16,uniform,0.1,2,21.2,2.8,0.049,N/A,0.028
4x4_torus,4,2,16,uniform,0.2,2,26.8,2.8,0.096,N/A,0.035
4x4_torus,4,2,16,uniform,0.3,2,35.8,2.8,0.142,N/A,0.045
4x4_torus,4,2,16,uniform,0.1,3,20.8,2.8,0.0495,N/A,0.030
4x4_torus,4,2,16,transpose,0.1,1,25.8,2.9,0.047,N/A,0.028
4x4_torus,4,2,16,transpose,0.2,1,35.2,2.9,0.092,N/A,0.038
4x4_torus,4,2,16,bitcomp,0.1,1,26.2,2.85,0.046,N/A,0.029
4x4_torus,4,2,16,bitrev,0.1,1,25.5,2.82,0.0465,N/A,0.0285
4x4_torus,4,2,16,shuffle,0.1,1,24.8,2.8,0.047,N/A,0.0275
8x8_torus,8,2,64,uniform,0.1,1,35.2,3.6,0.048,N/A,0.125
8x8_torus,8,2,64,uniform,0.2,1,45.8,3.6,0.095,N/A,0.165
8x8_torus,8,2,64,uniform,0.3,1,68.5,3.6,0.14,N/A,0.225
8x8_torus,8,2,64,uniform,0.4,1,105.8,3.6,0.175,N/A,0.315
8x8_torus,8,2,64,uniform,0.5,1,165.2,3.6,0.21,N/A,0.445
8x8_torus,8,2,64,uniform,0.6,1,255.5,3.6,0.24,N/A,0.625
8x8_torus,8,2,64,uniform,0.7,1,385.8,3.6,0.27,N/A,0.885
8x8_torus,8,2,64,uniform,0.8,1,585.5,3.6,0.29,N/A,1.225
8x8_torus,8,2,64,uniform,0.9,1,885.2,3.6,0.31,N/A,1.725
8x8_torus,8,2,64,uniform,1.0,1,1325.8,3.6,0.32,N/A,2.445
8x8_torus,8,2,64,uniform,0.1,2,32.8,3.6,0.049,N/A,0.135
8x8_torus,8,2,64,uniform,0.2,2,42.8,3.6,0.096,N/A,0.175
8x8_torus,8,2,64,uniform,0.3,2,63.5,3.6,0.142,N/A,0.235
8x8_torus,8,2,64,uniform,0.1,3,31.5,3.6,0.0495,N/A,0.145
8x8_torus,8,2,64,transpose,0.1,1,42.8,3.8,0.047,N/A,0.135
8x8_torus,8,2,64,transpose,0.2,1,58.2,3.8,0.092,N/A,0.185
8x8_torus,8,2,64,bitcomp,0.1,1,44.2,3.7,0.046,N/A,0.145
8x8_torus,8,2,64,bitrev,0.1,1,41.5,3.65,0.0465,N/A,0.138
8x8_torus,8,2,64,shuffle,0.1,1,38.8,3.6,0.047,N/A,0.132
